Bug Bear Murder Machine,,,Tyler Hutchison,Tyler Hutchison,Tyler Hutchison,,,,,,minicomic
Building a Home,,,Christopher Green,Christopher Green,Christopher Green,,,,,,minicomic
Butts,,,Jake Mayday,Jake Mayday,Jake Mayday,trade for Dicks Through History,,,,,minicomic
Butts,,,Kyle Starks,Kyle Starks,Kyle Starks,,,,,,minicomic
C7,,,Jordan Neves,Jordan Neves,Jordan Neves,,,,,,minicomic
Caliber Presents,13,Caliber,,Richard G. Taylor,Richard G. Taylor,,,Yes,No,,comic
Camera''s Eye,,,Zac Finger,Zac Finger,Zac Finger,,,,,,minicomic
Captain America,318,Marvel,,Mark Gruenwald,"Paul Neary
Dennis Ianke",,,No,,,comic
Captain America Annual,10,Marvel,Mike Mignola,D.G. Chichester,Mike Manley,"The Von Strucker Gambit, part 3 of 3",1991,Yes,Yes,,comic
Captain Glory,1,Topps,,Roy Thomas,Steve Ditko,Kirbychrome cover,,Yes,Yes,,comic
Captain Nauticus and the Ocean Force,1,National Maritime Center,,,,,,Yes,No,,comic
Captain Sternn,2,Kitchen Sink,,Bernie Wrightson,Bernie Wrightson,,,No,,,comic
Captain Sternn,5,Kitchen Sink,,Bernie Wrightson,Bernie Wrightson,,,No,,,comic
Captain Victory and the Galactic Rangers,5,Pacific,,Jack Kirby,Jack Kirby,Goozlebobber backup,,Yes,Yes,,comic
Captain Victory and the Galactic Rangers Special,1,Pacific,,Jack Kirby,Jack Kirby,,,No,,,comic
Carl: The Cat That Makes Peanut Butter Sandwiches,1,Nerdcore,,Jim Mahfood,Jim Mahfood,"one-shot
signed",,Yes,Yes,,comic
Casual Heroes,1,Image,,Kevin McCarthy,Kevin McCarthy,,,No,,,comic
Casual Poet 2007,,,Todd Webb,Todd Webb,Todd Webb,,,,,,minicomic
Casual Poet 2008,,,Todd Webb,Todd Webb,Todd Webb,,,,,,minicomic
Casual Poet 2009,,,Todd Webb,Todd Webb,Todd Webb,2 copies,,,,,minicomic
Cat Hands,,,Nathan Bulmer,Nathan Bulmer,Nathan Bulmer,,,,,,minicomic
Cat-Stronauts in Space,,,Drew Brockington,Drew Brockington,Drew Brockington,,,,,,minicomic
CBLDF Presents: Liberty Annual 2012,1,Image,Gabriel Ba,Robert Kirkman,"Ben Templesmith
Chris Giarusso
Brandon Graham
Terry Moore
Charlie Adlard",Gabriel Ba pinup,,Yes,Yes,,comic
Celery Stalks at Midnight,1,Ripple,Patrick Ian Rooks,Patrick Ian Rooks,Patrick Ian Rooks,,,Yes,Yes,No,minicomic
Celery Stalks at Midnight,2,Ripple,Patrick Ian Rooks,Patrick Ian Rooks,Patrick Ian Rooks,,,Yes,Yes,No,minicomic
Celery Stalks at Midnight,3,Ripple,Patrick Ian Rooks,Patrick Ian Rooks,Patrick Ian Rooks,,,Yes,Yes,No,minicomic
"Challengers of the Unknown, Vol 3",6,DC,,"Steven Grant
Len Kaminski",John Paul Leon,,,Yes,No,,comic
Cheer Up,,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
Cheval Noir,11,Dark Horse,,,,anthology,,No,Yes,,comic
Cheval Noir,12,Dark Horse,Mike Mignola,"Rick Geary
Jacques Tardi
Phil Elliott
Benoit Peeters
Brian Bolland
Eddie Campbell
Philippe Druillet","Geof Darrow
Rick Geary
Jacques Tardi
Phil Elliott
Francois Schuiten
Brian Bolland
Ed Hillyer
Jacques Lob",Cyclops,1990,No,Yes,,comic
Cheval Noir,43,Dark Horse,,,,anthology,,Yes,No,,comic
Children of Fire,1,Fantagor,,Richard Corben,Richard Corben,,,No,,,comic
"Chromium Man, The",2,Triumphant,,,,,,Yes,No,,comic
Chronicles of Corum,2,First,Mike Mignola,,,,1987,,Yes,,comic
Chronicles of Corum,3,First,Mike Mignola,,,,1987,,Yes,,comic
Chronicles of Corum,4,First,Mike Mignola,,,,1987,,Yes,,comic
Chronicles of Corum,6,First,Mike Mignola,,,,1987,,Yes,,comic
Chronicles of Corum,7,First,Mike Mignola,,,,1987,,Yes,,comic
Chronicles of Corum,8,First,Mike Mignola,,,,1987,,Yes,,comic
Chronicles of Corum,9,First,Mike Mignola,,,,1987,,Yes,,comic
Chronicles of Corum,11,First,Mike Mignola,,,,1987,,Yes,,comic
Chronicles of Corum,12,First,Mike Mignola,,,,1987,,Yes,,comic
Cinderella II,,,Zac Finger,Zac Finger,Zac Finger,,,,,,minicomic
Classic Popeye,14,,Bob Sagendorf,Bob Sagendorf,Bob Sagendorf,,,,,,comic
Classics Illustrated: Moby Dick,1,"Berkley
First Publishing
",,,Bill Sienkiewicz,,,No,,,trade
Classics Illustrated: The Invisible Man,1,"Berkley
First Publishing
",,,Rick Geary,,,No,,,trade
Codename: Stryke Force,1,Image,,Marc Silvestri,Brandon Peterson,,,Yes,Yes,,comic
Codename: Stryke Force,2,Image,,Marc Silvestri,Brandon Peterson,,,Yes,Yes,,comic
Codename: Stryke Force,3,Image,,Marc Silvestri,Brandon Peterson,,,Yes,Yes,,comic
Codename: Stryke Force,4,Image,,Marc Silvestri,Brandon Peterson,,,Yes,Yes,,comic
Cold Crew,,,Patrick Dean,Patrick Dean,Patrick Dean,,,,,,minicomic
Cold Wind,,,Jesse Lonergan,Jesse Lonergan,Jesse Lonergan,,,,,,minicomic
Comet Man,2,Marvel,Bill Sienkiewicz,"Bill Mumy
Miguel Ferrer",Kelly Jones,,,No,No,,comic
Comet Man,6,Marvel,Bill Sienkiewicz,"Bill Mumy
Miguel Ferrer",Kelly Jones,,,No,No,,comic
"Comic Book History of Comics, The",3,IDW,,Fred Van Lente,Ryan Dunlavey,Manga variant cover,,Yes,No,,comic
Comic Festival,,,,,,,,,,,indie
"Comic Reader, The",212,Street Enterprises,Mike Mignola,,,Not a comic book,1983,,Yes,,magazine
Comics Festival 2001,,,,,,,,,,,indie
Comics Festival 2007,,,,,,,,,,,indie
Comics Festival 2015,,,,,,,,,,,indie
Comics'' Greatest World: Out of the Vortex,1,Dark Horse,,"Mike Richardson
Randy Stradley","Lee Weeks
Bob McLeod",,,Yes,Yes,,comic
Comics'' Greatest World: the Machine,2,Dark Horse,Mike Mignola,Chris Warner,Lee Weeks,Sketchbook from Heroescon 2010,1993,Yes,Yes,,comic
Comics'' Greatest World: Titan,1,Dark Horse,,"Mike Richardson
Barbara Kesel","Lee Weeks
Brian Apthorp",,,Yes,Yes,,comic
Conan,30,Dark Horse,Mike Mignola,Mike Mignola,Cary Nord,,2006,Yes,Yes,,comic
Conan the Barbarian,236,Marvel,Mike Mignola,Michael Higgins,Rodney Ramos,,1990,,Yes,,comic
Conan the Barbarian,237,Marvel,Mike Mignola,Michael Higgins,Rodney Ramos,,1990,,Yes,,comic
Conversation,1,,"James Kochalka
Craig Thompson","James Kochalka
Craig Thompson","James Kochalka
Craig Thompson",,,,,,indie
Conversation,2,,"James Kochalka
Jeffrey Brown","James Kochalka
Jeffrey Brown","James Kochalka
Jeffrey Brown",,,,,,indie
Coping With Death,,,Maris Wicks,Maris Wicks,Maris Wicks,,,,,,minicomic
Cork Nut,1,,M.R. Trower,M.R. Trower,M.R. Trower,,,,,,minicomic
